timestamp,ego_x,ego_y,ego_z,ego_roll,ego_pitch,ego_yaw,ego_velocity,ego_throttle,ego_brake,ego_steer,ego_lamp,obs0_x,obs0_y,obs0_z,obs0_roll,obs0_pitch,obs0_yaw,obs0_distance,obs0_tire_angle,obs0_lamp,obs1_x,obs1_y,obs1_z,obs1_roll,obs1_pitch,obs1_yaw,obs1_distance,obs1_tire_angle,obs1_lamp
0.136,-31.811,-391.414,0.034,0,0.001,1.561,11.317,0.414,0,0.001,0,-35.776,-388.662,0,0,0,1.56,1.788,0.057,0,-27.777,-388.752,0,0,0,1.56,1.906,0.057,0
0.182,-31.805,-390.898,0.034,0,0.001,1.561,11.334,0.414,0,0.001,0,-35.77,-388.142,0,0,0,1.56,1.788,0.057,0,-27.771,-388.232,0,0,0,1.56,1.906,0.057,0
0.227,-31.8,-390.384,0.035,0,0.001,1.561,11.326,0.414,0,0.001,0,-35.765,-387.632,0,0,0,1.56,1.788,0.057,0,-27.765,-387.722,0,0,0,1.56,1.907,0.057,0
0.272,-31.795,-389.869,0.035,0,0.001,1.561,11.318,0.076,0,0.001,0,-35.759,-387.112,0,0,0,1.56,1.787,0.057,0,-27.759,-387.202,0,0,0,1.56,1.908,0.057,0
0.318,-31.79,-389.355,0.035,0,0.001,1.561,11.31,0.076,0,0.001,0,-35.753,-386.602,0,0,0,1.56,1.786,0.057,0,-27.754,-386.692,0,0,0,1.56,1.908,0.057,0
0.363,-31.784,-388.841,0.035,0,0,1.56,11.302,0.067,0,0.001,0,-35.747,-386.082,0,0,0,1.559,1.788,0.057,0,-27.747,-386.172,0,0,0,1.559,1.906,0.057,0
0.409,-31.779,-388.328,0.035,0,0,1.56,11.294,0.067,0,0.001,0,-35.741,-385.572,0,0,0,1.559,1.787,0.057,0,-27.741,-385.662,0,0,0,1.559,1.907,0.057,0
0.455,-31.773,-387.814,0.035,0,0,1.56,11.287,0.082,0,0.001,0,-35.735,-385.062,0,0,0,1.559,1.787,0.057,0,-27.735,-385.152,0,0,0,1.559,1.907,0.057,0
0.5,-31.768,-387.302,0.035,0,0,1.56,11.279,0.082,0,0.001,0,-35.729,-384.552,0,0,0,1.559,1.786,0.057,0,-27.729,-384.642,0,0,0,1.559,1.908,0.057,0
0.546,-31.762,-386.789,0.035,0,0,1.56,11.271,0.098,0,0.001,0,-35.722,-384.032,0,0,0,1.559,1.785,0.057,0,-27.723,-384.122,0,0,0,1.559,1.908,0.057,0
0.591,-31.756,-386.277,0.035,0,0,1.56,11.263,0.098,0,0.001,0,-35.716,-383.522,0,0,0,1.559,1.785,0.057,0,-27.716,-383.612,0,0,0,1.559,1.909,0.057,0
0.636,-31.751,-385.766,0.035,0,0,1.559,11.255,0.113,0,0.001,0,-35.71,-383.012,0,0,0,1.559,1.789,0.057,0,-27.71,-383.102,0,0,0,1.559,1.909,0.057,0
0.682,-31.745,-385.254,0.035,0,0,1.559,11.293,0.113,0,0.001,0,-35.703,-382.502,0,0,0,1.558,1.786,0.057,0,-27.704,-382.592,0,0,0,1.558,1.907,0.057,0
0.727,-31.739,-384.737,0.035,0,0,1.559,11.388,0.113,0,0.001,0,-35.696,-381.972,0,0,0,1.558,1.785,0.057,0,-27.697,-382.082,0,0,0,1.558,1.908,0.057,0
0.773,-31.732,-384.218,0.035,0,0,1.559,11.44,0.137,0,0.001,0,-35.689,-381.452,0,0,0,1.558,1.785,0.057,0,-27.69,-381.562,0,0,0,1.558,1.908,0.057,0
0.819,-31.726,-383.697,0.035,0,0,1.559,11.46,0.137,0,0.001,0,-35.683,-380.932,0,0,0,1.558,1.785,0.057,0,-27.683,-381.042,0,0,0,1.558,1.909,0.057,0
0.863,-31.72,-383.177,0.035,0,0,1.559,11.454,0.003,0,0.001,0,-35.676,-380.412,0,0,0,1.558,1.784,0.057,0,-27.676,-380.522,0,0,0,1.558,1.91,0.057,0
0.91,-31.713,-382.657,0.035,0,0,1.559,11.425,0.003,0,0.001,0,-35.669,-379.892,0,0,0,1.558,1.784,0.057,0,-27.669,-380.002,0,0,0,1.558,1.91,0.057,0
0.955,-31.707,-382.139,0.035,0,0,1.558,11.38,0,0.007,0.001,1,-35.662,-379.372,0,0,0,1.557,1.786,0.057,0,-27.662,-379.482,0,0,0,1.557,1.909,0.057,0
1,-31.7,-381.624,0.035,0,0,1.558,11.323,0,0.007,0.001,1,-35.654,-378.862,0,0,0,1.557,1.785,0.057,0,-27.655,-378.972,0,0,0,1.557,1.909,0.057,0
1.046,-31.694,-381.111,0.035,0,0,1.558,11.258,0,0.003,0.001,1,-35.647,-378.342,0,0,0,1.557,1.784,0.057,0,-27.648,-378.452,0,0,0,1.557,1.91,0.057,0
1.092,-31.687,-380.601,0.035,0,0,1.558,11.189,0,0.003,0.001,1,-35.64,-377.833,0,0,0,1.557,1.784,0.057,0,-27.641,-377.943,0,0,0,1.557,1.91,0.057,0
1.137,-31.68,-380.095,0.035,0,0,1.558,11.119,0.132,0,0.001,0,-35.633,-377.333,0,0,0,1.557,1.784,0.057,0,-27.634,-377.443,0,0,0,1.557,1.91,0.057,0
1.182,-31.674,-379.592,0.035,0,0,1.558,11.052,0.132,0,0.001,0,-35.626,-376.823,0,0,0,1.557,1.783,0.057,0,-27.626,-376.933,0,0,0,1.557,1.912,0.057,0
1.227,-31.667,-379.091,0.035,0,0,1.557,10.988,0.132,0,0.001,0,-35.618,-376.323,0,0,0,1.557,1.786,0.057,0,-27.619,-376.433,0,0,0,1.557,1.911,0.057,0
